Organization Name,Organization Name URL,Company Type,IPO Status,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Nilus,https://www.crunchbase.com/organization/nilus-7a2a,For Profit,Private,Seed,"Financial Services, FinTech, Payments","Nilus is a plug-and-play platform that automates reconciliation, reporting, and payment workflows to empower finance teams with financial transparency and complete control. By unifying data from your payment providers, banks, platform, and ERP, Nilus creates a single source of financial truth for all your payment activity. Nilus provides a seamless plug-and-play experience for financial operators. With our automated workflows, pre-built data connectors, and smart reconciliation algorithms, Nilus eliminates dependence on tech teams and spreadsheets to get the job done.","New York, New York, United States",11-50,Active,8600000,USD,8600000,8600000,USD,8600000,2022-12-12,contact@nilus.com
Sikoia,https://www.crunchbase.com/organization/sikoia,For Profit,Private,Seed,"Big Data, FinTech, Risk Management","Sikoia is a unified data platform and API marketplace for financial services. They’re on a mission to make it easier and simpler for fintechs, lenders, and corporates to embed financial innovation and automate their lending decisions, from customer onboarding through to risk underwriting. Sikoia eliminates the time-consuming task of reconciling customer data from disorganized spreadsheets or out-of-date systems. The platform automates key risk assessments, saving clients time and reducing customer friction, allowing them to provide delightful customer experiences.","London, England, United Kingdom",11-50,Active,8350000,USD,8350000,6000000,USD,6000000,2023-02-16,office@sikoia.com
Card91,https://www.crunchbase.com/organization/card91,For Profit,Private,Seed,"Banking, Financial Services, FinTech, Software","Card91 offers plug-and-play payment infrastructure as a service for businesses that want to issue, control, view, and approve payments. It assists businesses and banks in the launch of co-branded cards and the simplification of business payments. The company offers a card issuance platform for businesses that manage the payment flow from customer onboarding to transaction processing to data reconciliation. Card91 allows news age payment use cases via Card issuance and Management by empowering businesses with payment decisioning and transaction control.","Bengaluru, Karnataka, India",51-100,Active,14000000,USD,14000000,13000000,USD,13000000,2022-03-27,hello@card91.io
ClimateTrade,https://www.crunchbase.com/organization/climatetrade,For Profit,Private,Seed,"Blockchain, Developer APIs, FinTech, Sustainability, Trading Platform","ClimateTrade is a blockchain-based carbon credits trading platform. Their vision is to be the most disruptive and exponential fintech company in the environmental sector to accelerate the achievement of the Sustainable Development Goals, focusing on the client. They have built an ecosystem where companies and consumers can easily offset their carbon footprint and also access to other climate related products. Their API is the first Carbon API created in the world and allows companies to offer products and services carbon neutral and be certified in blockchain.","Miami, Florida, United States",11-50,Active,9000000,EUR,10225068,7000000,EUR,7926451,2022-01-24,fran@climatetrade.com
Swipe,https://www.crunchbase.com/organization/swipe-572d,For Profit,Private,Seed,"Billing, FinTech, Payments","Swipe is a billing and payments solution for small and medium-sized businesses. Swipe helps in generating instant GST billings, filing returns, tracking sales, and managing inventory. The company was founded in 2021 and is headquartered in Hyderabad, Andhra Pradesh, India.","Hyderabad, Andhra Pradesh, India",11-50,Active,2107996,USD,2107996,150000000,INR,1982996,2022-02-11,team6291.157.906@getswipe.in
Banxware,https://www.crunchbase.com/organization/banxware,For Profit,Private,Seed,"Banking, Financial Services, FinTech, Information Technology, Software","Banxware is the future of business lending. We are passionate about financing small businesses, the true heroes of our economy. As lending experts, we empower digital platforms to help their business customers grow. With Banxware, platforms can instantly launch tailored embedded lending solutions all across Europe. The Berlin-based company was founded in 2020 by Miriam Wohlfarth, Jens Röhrborn, Fabian Heiß, and Nicolas Kipp.","Berlin, Berlin, Germany",11-50,Active,14000000,EUR,16256915,10000000,EUR,11440364,2022-01-12,info@banxware.com
Treasure Financial,https://www.crunchbase.com/organization/treasure-financial,For Profit,Private,Seed,"Financial Services, FinTech",,"San Francisco, California, United States",11-50,Active,6500000,USD,6500000,3500000,USD,3500000,2021-08-21,hello@treasure.tech
Wellthi,https://www.crunchbase.com/organization/wellthi,For Profit,Private,Seed,"Banking, Financial Services, FinTech, Wealth Management","Wellthi offers a B2B embedded social finance software designed to help financial institutions turn one customer into a community of customers. Wellthi offers a suite of white-label, configurable APIs, mobile apps, and payment solutions to help clients leverage the power of online communities, shared financial goals, and positive peer accountability to attract and retain customers and increase assets under management. Bank customers can use Wellthi to structure their financial goals with family and friends and build community through their bank's mobile app.","Arlington, Virginia, United States",11-50,Active,3745000,USD,3745000,,,,2023-05-25,info@wellthiapp.com
bunch,https://www.crunchbase.com/organization/bunch-technology,For Profit,Private,Seed,"Financial Services, FinTech, Software","bunch is the operating system (OS) for private market investing, digitizing entity creation, seamless investor onboarding and portfolio management. The company's platform focuses on saving time, money and mental energy by eliminating legacy intermediaries, overwhelming regulatory complexity, and low-tech administration. Operating across legal structures, asset classes and jurisdictions allows bunch to fully unlock private markets for everyone, enabling businesses and investors to make private markets easy, cost-efficient and fast.","Berlin, Berlin, Germany",11-50,Active,7300000,EUR,7394397,7300000,EUR,7394396,2022-07-26,hi@bunch.capital
Ondato,https://www.crunchbase.com/organization/ondato,For Profit,Private,Seed,"Banking, Digital Entertainment, Finance, Financial Services, FinTech, Insurance, SaaS","Ondato is a tech company that streamlines KYC and AML-related processes. We're providing advanced technological solutions for digital identity verification, business customer onboarding, data validation, fraud detection, and more. All of them meet the highest quality standards available for KYC online or offline onboarding for all business and customer types orchestrated from a single interface. We're turning compliance into a business benefit by creating a safer environment for organizations and individuals alike.","London, England, United Kingdom",101-250,Active,11208135,USD,11208135,3763000,EUR,4078337,2023-05-17,Info@ondato.com
Functional Finance,https://www.crunchbase.com/organization/functional-finance-6b5d,For Profit,Private,Seed,"Financial Services, FinTech, Insurance",,"San Francisco, California, United States",1-10,Active,10000000,USD,10000000,10000000,USD,10000000,2023-08-03,hello@functionalfi.com
Paytron,https://www.crunchbase.com/organization/paytron-22a8,For Profit,Private,Seed,"Finance, Financial Services, FinTech, Payments, Risk Management","PAYTRON is a global fintech based in Sydney, Australia. The company is focused on helping SME businesses and their accountants avoid wasting resources on mundane processes, with a borderless transaction account that moves money efficiently, automates bookkeeping and delivers insights to grow.","Sydney, New South Wales, Australia",11-50,Active,7345474,USD,7345474,250000,USD,250000,2022-10-03,hello@paytron.com
Uplinq,https://www.crunchbase.com/organization/uplinq-cf69,For Profit,Private,Seed,"Accounting, Business Intelligence, Financial Services, FinTech, Software","Uplinq revolutionizes how small business owners think about bookkeeping. By seamlessly connecting your business accounts and providing a more streamlined way of accessing your data, you can focus on the things that really matter– managing your business.","Tempe, Arizona, United States",11-50,Active,7250098,USD,7250098,5600000,USD,5600000,2022-08-15,info@up-linq.com
Monkee,https://www.crunchbase.com/organization/monkee,For Profit,Private,Seed,"Apps, Financial Services, FinTech, Loyalty Programs, Mobile Apps, Personal Finance, Retail Technology","Monkee combines Personal Finance and Loyalty in one unique product. We help our users to save more money for what's important to them and actively support them in growing their savings while consciously shopping the things they need. Like Cashback, just better, as while consciously shopping the things they need, our users are supporting their saving goals. On the other side we help our retail partners to connect with consumers in a relevant and rewarding way based on savings- and purchasing behavior, leading to 10x higher sales conversion and retention and creating positive consumer touch-points.  Monkee aims to establish 'Save now Buy Later' as a responsible alternative to 'Buy now Pay later'. The company was founded in Austria. The app was launched in the kick-off markets Germany and Austria.","Innsbruck, Tirol, Austria",11-50,Active,3229188,USD,3229188,,,,2023-06-13,info@monkee.rocks
