Organization Name,Organization Name URL,Last Funding Type,Industries,Full Description,Headquarters Location,Number of Employees,Operating Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Contact Email
Corpay One,https://www.crunchbase.com/organization/roger-ai,Series A,"Finance, Financial Services, FinTech, Mobile Payments, Payments, Small and Medium Businesses","Corpay One is a spend management solution for small and medium-sized businesses. The technology uses artificial intelligence and machine learning to automatically synchronize with accounting systems. This technology enables businesses and accountants to make payments more quickly, easily, and securely.","Atlanta, Georgia, United States",11-50,Active,7350000,USD,7350000,7350000,USD,7350000,2019-05-29,
Sparkle,https://www.crunchbase.com/organization/sparkle-3c68,Seed,"Apps, Finance, Financial Services, FinTech",Sparkle is a digital bank that provides lifestyle and financial solutions to help fulfill potential in their smartphones.,"Lagos, Lagos, Nigeria",11-50,Active,5440787,USD,5440787,3100000,USD,3100000,2021-10-14,info@sparkle.ng
AIKON,https://www.crunchbase.com/organization/aikon,Series A,"Blockchain, Ethereum, FinTech, Software","Founded in 2017 by an encryption technology pioneer, a former political operative and a banking veteran, AIKON’s vision is to build technology products that decentralize and catalyze the global digital economy. AIKON believes that the world must become a decentralized global economy to facilitate worldwide collaboration and equal opportunity regardless of location, background, or easy access to banks or credit cards. AIKON has raised $2 million from Palo Alto-based OVO Fund and various angel investors from the U.S., Japan and Europe.","San Francisco, California, United States",11-50,Active,12600000,USD,12600000,10000000,USD,10000000,2022-09-29,team@aikon.com
Qoins,https://www.crunchbase.com/organization/qoins,Seed,"Financial Services, FinTech, Payments","Qoins is a financial wellness app that helps consumers achieve their financial goals by combining financial education and automation. Qoins develops an automated micro-payment platform created to pay off debt early with the spare change from bank transactions. The platform uses round-up technology on daily credit card purchases and calculates spare change from the previous month and makes an additional payment to users' student loans or credit cards, enabling them to save money and get more purchasing power in the future.","Atlanta, Georgia, United States",1-10,Active,2270000,USD,2270000,1500000,USD,1500000,2021-01-12,support@qoins.io
Yoello,https://www.crunchbase.com/organization/yoello,Series A,"Banking, Blockchain, E-Commerce, Financial Services, FinTech, Mobile Payments, Payments","Yoello is a payments platform building infrastructure that connects banks and payment networks to merchants' consumers. It allows its users to order and pay for food and drink safely from their table with no staff contact, no physical menus, no cash, and no queues. The company was founded in 2017 and is based in Cardiff, United Kingdom.","Cardiff, Cardiff, United Kingdom",11-50,Active,11344720,USD,11344720,4000000,GBP,4743720,2022-11-17,hello@yoello.com
Zoro Card,https://www.crunchbase.com/organization/zoro,Seed,"Banking, Credit, Financial Services, FinTech, Personal Finance","Zoro Card is the creator of a money management program aimed at facilitating cashless transactions and improving credit scores. With the company's software, users can pay off debts and loans while improving their credit score and qualifying for low-interest loans. The software also offers a debit card for paying off regular bills, fees, or debt.","Austin, Texas, United States",1-10,Active,3100000,USD,3100000,2400000,USD,2400000,2020-12-22,hello@zorocard.com
Modak,https://www.crunchbase.com/organization/modak,Seed,FinTech,"Modak is a US-based fintech platform leveraging the power of fintech, gamification, and community to empower teens to reach their full potential. Modak is founded with an audacious vision to enable teens and young adults to reach their full potential, regardless of their background. Modak pursues this mission by offering a gamified fintech and learning ecosystem - with teen cards, financial literacy, and other services.","Menlo Park, California, United States",11-50,Active,5300000,USD,5300000,5300000,USD,5300000,2022-06-03,info@modak.live
Bankuish,https://www.crunchbase.com/organization/bankuish,Seed,"Credit, Financial Services, FinTech, Risk Management","Bankuish is a technology platform where gig workers and freelancers leverage their work history data to demonstrate their creditworthiness. Users gain access to a marketplace of preapproved offers from national banks tailored to their unique profile as well as tools to grow their credit score.  The company helps banks gain new customers, manage risk, and improve customer relationships. The Bankuish Score has been used to de-risk thousands of individuals while maintaining a default rate well below the industry standard.  Bankuish was established in 2020 with its headquarters in New York City and Mexico City.","New York, New York, United States",11-50,Active,6000000,USD,6000000,4650000,USD,4650000,2022-03-31,info@bankuish.com
Pontoro,https://www.crunchbase.com/organization/pontoro,Seed,"Blockchain, Financial Services, FinTech","Pontoro is building a digital asset securitization and liquidity platform to address the $20 trillion shortfall in infrastructure debt finance by enabling broader investor participation in these private assets. Pontoro's team has collectively underwritten, invested in, or built over $100 billion of large-scale infrastructure assets globally. Pontoro has sourced an initial $500M infrastructure loan pipeline from some of its large originating bank relationships. Pontoro is also speaking with several large financial institutions about opportunities to distribute its digital assets to these institutions’ RIA, family offices, and ultra-high-net-worth investor distribution channels.","Mountain View, California, United States",1-10,Active,10800000,USD,10800000,4600000,USD,4600000,2023-03-17,contact@pontoro.com
Fundiin,https://www.crunchbase.com/organization/fundiin,Series A,"E-Commerce, Finance, Financial Services, FinTech, Retail","Fundiin is a zero-cost Buy Now Pay Later leader in Vietnam, serving unbanked and underbanked. Credit card penetration in Vietnam is only 5%. Fundiin is able to provide the service at great user experience in the country, i.e. the service is free of interest or fee and the onboarding requires a single photo of ID card and 5 seconds without app download required. Fundiin has partnered with more than 300 retail merchants having more than 4000 physical stores, including some of the largest names in their vertical like Mobile World - the largest overall retailer in Vietnam, Unilever, Vua Nem - largest mattress retailer, Lug - largest luggage retailer, Galaxy Play - leading local movie streaming services, and many cosmetics and fashion brands like Paula's Choice, AHC, DHC, Sulwhasoo, etc.","Ho Chi Minh City, NA - Vietnam, Vietnam",11-50,Active,6800000,USD,6800000,5000000,USD,5000000,2022-10-17,lienhe@fundiin.vn
Cheese,https://www.crunchbase.com/organization/cheese,Seed,"Banking, Consumer Software, Financial Services, FinTech","Cheese Financial Inc., based in California, is a fintech company that is dedicated to helping people build credit and grow savings with simple and automated solutions. We believe that the chances of getting a great credit score and achieving life goals belong to everyone!","Pasadena, California, United States",1-10,Active,3600000,USD,3600000,,,,2023-02-20,support@earncheese.com
